,review,sentiment
10,"Frankly, everything has already been said by previous users. Yes, it's ludicrous. Yes, it's boring. Yes, it's clichéd. Yes, it's badly acted.

But, COME ON, this was intended as a Columbia ""C"" filler to begin with. Think about it....... ""Oz"" was already filming, or soon to start, with ALL of these actors as ""Munchkins."" (Well, ""Tex"" isn't in ""Oz,"" but every other name appears.) What better way to get some cheap studio material into the theaters? The little people were already making news in the trades.....you'd better BELIEVE Columbia utilized the situation.

Charles Becker, as the cook, has some funny moments, considering the quality of every other performance. And, Billy Curtis, as the hero, actually comes across as a miniaturized version of the standard Hollywood Western star.

As a curiosity, it is definitely worth watching once, with friends and a few margaritas.",0
11,,1
12,"Ok, so when I voted I gave it a low score, but that was cause Terror of Tiny Town has very little cinematic merit. But put all that aside and wind your sense of humour down a couple of notches and this movie is a ""rootin, tootin, shootin"" good time. I mean come on! They walk UNDER the saloon door! They ride ponies! It takes two midgets to play the bass! The bartender can't seem to chug his beer without outbursts of laughter! Plus- midgets fighting- funny! Add to that the fact that not a single one of the midgets can act and you've got 63 minutes of fun! Ok, so I realize that this movie is so politically incorrect that ""little people"" everywhere are either laughing themselves to death or up in arms. But that shouldn't stop us from enjoying an entirely midget western with multiple ear shattering musical numbers and the barest traces of a plot. But like I said before- midgets-Funny!",0
13,"Tiny Town is a town of little people. Cattle rustler Jim 'Tex' Preston is returning after getting driven out fifteen years earlier. Buck Lawson has to take him and his gang down once more. This is a film oddity. While most of the tiny actors are trying, the filmmaker is obviously counting on the camp quality. It's meant to be funny. Look at all the little people riding little horses. That's the intention here. The audience is meant to laugh at these actors.

I get it. I'm willing to overlook it and hope for some good work nevertheless. The acting is a mixed bag. Many of them could be good stunt people, but their acting is mostly bad. Also the munchkin voices do not elevate the acting quality. It sounds silly. It's an oddity that leaves me with mixed feelings. I'm definitely not laughing at this as was intended.",0
14,"This movie is a cult classic. The main reason it is a classic, of course, is that the cast is made up entirely of little people (or midgets, as they were referred to back in the 1930's, when this movie was made.)

I can only imagine some bigwigs in Hollywood sitting around the boardroom table, and someone saying, ""Hey...let's make a western musical with an all midget cast!"" and everyone chiming in and saying, ""Yeah, that's a great idea!"". I mean, what were they thinking? Now let me start off by saying I have nothing at all against little people. But the premise for this movie is pretty bizarre. Was it meant to be serious, or taken as a joke? It is exploitation of the midget actors, making fun of them, or was it meant to be a serious attempt at a western musical, just starring little people? These questions go mainly unanswered.

I think the actors performed with all seriousness in their roles, even though it seems to me that the script was poking fun at them, having them ride miniature ponies (which is hilarious to see) and having them walk under normal size barroom doors and the like.

Other than the cast being made up entirely of little people, there is nothing to distinguish this movie from the hundreds of other westerns made during the 1930's...low budget, cheap sets, terrible acting and atrocious songs (The song, ""The Wedding of Jack and Jill"", is unintentionally a howler). I think everyone should see this movie at least once. It happens to be a part of a 20 movie DVD compilation put out by Mill Creek Entertainment entitled ""Cult Classics"". It has the notorious movies ""Reefer Madness"", ""Cocaine Fiends"", ""Sex Mad"" and ""Terror of Tiny Town"", as well as many others included in the set. Most of these movies are exploitation films of the thirties and they are a gas to watch.",0
15,,1
16,"One wonders who thought this would be a great idea--a western done straight with all midgets. Plot-wise this is like any other B western--two neighboring ranchers suspect each other of rustling their cattle. The Hero (that's how he's billed in the cast--Billy Curtis) of one ranch falls in love with the Girl (Yvonne Moray) of the other ranch! And the Villain (Little Billy) tries to frame the Hero.

The plot is as old as the hills and every single Western cliché is firmly in place. Also there are songs! The movie opens with the entire town singing a nauseating song about how happy they are! There's there's a saloon vamp (Nita Krebs) who squeaks out a few more (and very badly too). The acting is truly horrendous and (cinematically speaking) this movie is worthless. After the initial novelty of the midgets wears off this is pretty lame stuff. Still it moves quick and is only about an hour long. Also there are some good action scenes--if you can get past the midgets riding ponies instead of horses! I give this a 3 because it does have its moments and you have to admire the fact that the whole movie is played straight.",0
17,"Well, not exactly Tod Browning, or a very smooth Tod Browning, but not so far from FREAKS or THE UNKNOWN, because only cast with Little People. For the rest, nothing really disturbing, only a classical scheme for a western, except that it is entirely played by little people. A curiosity worth watching, and also a Sam Newfield's movie, one of his most strange stuff. And don't forget that he also brought us HARLEM ON THE PRAIRIE, only played by Black folks. And in the thirties, believe me, it was very very rare, weird. But from Sam Newfield nothing can surprise us after all. It may seem funny, because we are not used to watch such films, played by Little People, as if they were small kids.",1
18,"I differ from critics who think the flick demeans little people. Instead I think the hour humanizes the little folks beyond whatever initial curiosity and strangeness there might be. After all, the narrative simply substitutes midgets for usual size people in stock cowboy film roles. And once the initial strangeness of size slackens, the humanity of the characters takes over. Then too, it's a studio production (Columbia) giving it more respectability than an exploitation outfit. Oh sure, the film stands as a slice of exotica that has never been repeated, as far as I know. Still, size is never mocked, except for the swinging saloon doors; while some such spicing-up may have been tempting given the stock story, I'm glad the producers resisted it. Anyway, the oddity should not be passed up since there's a valuable lesson there for each generation.

(In passing- the cast is made up of midgets, not dwarves. My understanding is that midgets are in proportion from head to toe; whereas dwarves are little people too but have some body part out of proportion such as a normal size head giving them quite a different appearance from midgets. Indeed, a movie featuring the latter may have presented an even bigger lesson than TTT.)",0
19,"This film was produced by Jed Buell, shortly after he parted ways with the Stan Laurel Corporation as the producer of the Spectrum-Fred Scott westerns, as an independent production and released in September of 1937 through the various states rights exchanges across the country. It had its own Jed Buell-identified press book, posters and ads and campaign. It had many play-dates in theatres across the US in 1937.

It had so many bookings in 1937, based on the novelty---key word---of the film, that it became somewhat of an attention-getter and buzz-talk around town---a novelty in itself that any film produced by Jed Buell could even get any attention from the Hollywood community. So Columbia Pictures Corporation, who had absolutely nothing to do with the production of this film, and probably didn't even know it was being produced, came up short one B-feature promised to its exchanges and exhibitors for the 1937-38 production schedule, and just purchased the rights to and all distribution rights for ""The Terror of Tiny Town"" from Jed Buell Productions.

They then pasted Columbia Pictures Corp. Presents on the film's title-card frame, right over where it formerly said Jed Buell Presents, made up a new press book, lobby cards and posters with Columbia Pictures Presents written on them, and shipped the kit-and-kaboodle to their film exchanges scattered around the U.S.

Buying product outside was nothing new for Columbia; they had previously done the same on ""Heroes of the Alamo,"" which Columbia also did not produce.",1
20,"The novelty value of a tale of little people in the big country quickly wears off thanks to an otherwise dull and routine production. The songs are catchy but weird (and at times a little creepy) and the whole thing has a Bugsy Malone feel to it, as if the actors were kids rather than diminutive adults. Oh yeah, has anyone mentioned that they walk under saloon doors...?",0
21,The Terror Of Tiny Town could have just as easily been made as a regular grade B western starring a cowboy star such as Gene Autry or Roy Rogers. However making this movie with an all little person cast was indeed brilliant giving these people a chance to do serious movie acting.,1
22,"There may be worse movies. Yes, indeed, there may be worse movies. That doesn't mean I want to see them, or be near them or even hear of them. You can have your director's ouevre, your Ed Wood, your own particular claim that a particular movie is the Worst Movie Ever Made. I don't really care.

When it comes to High Concept Pictures, this ranks up there with Jules White's ""Dogville"" series, in which inoffensive puppies are stuffed into costumes, wired into position and then made to stand around, urinating on themselves, after which voices are dubbed into a satire of ""the Face on the Bar Room Floor""; or ""The Three Fatties"" series: If they laugh at fat comics, and they laugh at at movie teams, then how about a movie team of three men who tip the scale at 300 pounds each? Yeah, that's High Concept!

Well, the High Concept here was to cross the Singing Western -- itself a slightly bizarre idea -- with the idea of an All Midget movie. They'll love it!

At least, the producer did. The midgets were cheap, the script available for pennies -- mostly endless repetition of ""He wants to be the biggest man in the county!"" and the songs... well, they ain't Gershwin.

Has to be seen to be believed, and even then you won't.",0
